Date,Deaths,Recoveries,Total confirmed
2020-01-30,0,0,1
2020-02-02,0,0,2
2020-02-03,0,0,3
2020-02-21,0,3,3
2020-03-02,0,3,5
2020-03-03,0,3,6
2020-03-04,0,3,28
2020-03-05,0,3,30
2020-03-06,0,3,31
2020-03-07,0,3,34
2020-03-08,0,3,39
2020-03-09,0,3,44
2020-03-10,0,3,50
2020-03-11,0,3,60
2020-03-12,1,3,74
2020-03-13,2,10,81
2020-03-14,2,10,84
2020-03-15,2,13,110
2020-03-16,2,13,114
2020-03-17,3,14,137
2020-03-18,3,14,151
2020-03-19,4,20,173
2020-03-20,4,23,223
2020-03-21,4,23,315
2020-03-22,7,24,360
2020-03-23,9,35,468
2020-03-24,10,40,519
2020-03-25,10,43,606
2020-03-26,16,45,694
2020-03-27,19,67,834
2020-03-28,19,80,918
2020-03-29,27,96,1024
2020-03-30,32,102,1251
2020-03-31,35,124,1397
2020-04-01,41,144,1834
2020-04-02,53,156,2069
2020-04-03,62,163,2547
2020-04-04,75,213,3072
2020-04-05,83,275,3577
2020-04-06,111,319,4281
2020-04-07,124,353,4789
2020-04-08,149,411,5274
2020-04-09,169,478,5865
2020-04-10,206,516,6761
2020-04-11,242,653,7529
2020-04-12,273,765,8447
2020-04-13,324,980,9352
2020-04-14,353,1190,10815
2020-04-15,392,1344,11933
2020-04-16,420,1515,12759
2020-04-17,452,1767,13835
2020-04-18,488,2015,14792
2020-04-19,519,2302,16116
2020-04-20,559,2842,17656
2020-04-21,603,3260,18985
2020-04-22,652,3960,20471
2020-04-23,686,4325,21700
2020-04-24,723,4814,23452
2020-04-25,779,5210,24942
2020-04-26,826,5914,26917
2020-04-27,886,6362,28380
2020-04-28,937,7027,29974
2020-04-29,1008,7797,31787
2020-04-30,1075,8373,33610
2020-05-01,1152,9065,35365
2020-05-02,1223,10018,37776
2020-05-03,1306,10887,40263
2020-05-04,1389,11762,42836
2020-05-05,1583,13161,46711
2020-05-06,1694,14183,49391
2020-05-07,1783,15267,52952
2020-05-08,1886,16540,56342
2020-05-09,1981,17847,59662
2020-05-10,2109,19358,62939
2020-05-11,2206,20917,67152
2020-05-12,2293,22455,70756
2020-05-13,2415,24386,74281
2020-05-14,2549,26235,78003
2020-05-15,2649,27920,81970
2020-05-16,2752,30153,85940
2020-05-17,2872,34109,90927
2020-05-18,3029,36824,96169
2020-05-19,3163,39174,101139
2020-05-20,3303,42298,106750
2020-05-21,3435,45300,112359
2020-05-22,3583,48534,118447
2020-05-23,3720,51784,125101
2020-05-24,3867,54441,131868
2020-05-25,4021,57721,138845
2020-05-26,4167,60491,145380
2020-05-27,4337,64426,151767
2020-05-28,4531,67692,158333
2020-05-29,4706,71106,165799
2020-05-30,4971,82370,173763
2020-05-31,5164,86984,182143
2020-06-01,5394,91819,190535
2020-06-02,5598,95527,198706
2020-06-03,5815,100303,207615
2020-06-04,6075,104107,216919
2020-06-05,6348,109462,226770
2020-06-06,6642,114073,236657
2020-06-07,6929,119293,246628
2020-06-08,7200,124430,256611
2020-06-09,7471,129314,266598
2020-06-10,7745,135206,276583
2020-06-11,8102,141029,286579
2020-06-12,8498,147195,297535
2020-06-13,8884,154330,308993
2020-06-14,9195,162379,320922
2020-06-15,9520,169798,332424
2020-06-16,9900,180013,343091
2020-06-17,11903,186935,354065
2020-06-18,12237,194325,366946
2020-06-19,12573,204711,380532
2020-06-20,12948,213831,395048
2020-06-21,13254,227756,410461
2020-06-22,13699,237196,425282
2020-06-23,14011,248190,440215
2020-06-24,14476,258685,456183
2020-06-25,14894,271697,473105
2020-06-26,15301,285637,490401
2020-06-27,15685,295881,508953
2020-06-28,16095,309713,528859
2020-06-29,16475,321723,548318
2020-06-30,16893,334822,566840
2020-07-01,17400,347979,585493
2020-07-02,17834,359860,604641
2020-07-03,18213,379892,625544
2020-07-04,18655,394227,648315
2020-07-05,19268,409083,673165
2020-07-06,19693,424433,697413
2020-07-07,20160,439948,719665
2020-07-08,20642,456831,742417
2020-07-09,21129,476378,767296
2020-07-10,21604,495516,793802
2020-07-11,22123,515386,820916
2020-07-12,22674,534621,849553
2020-07-13,23174,553471,878254
2020-07-14,23727,571460,906752
2020-07-15,24309,592032,936181
2020-07-16,24915,612815,968876
2020-07-17,25602,635757,1003832
2020-07-18,26273,653751,1038716
2020-07-19,26816,677423,1077618
2020-07-20,27497,700087,1118043
2020-07-21,28084,724578,1155191
2020-07-22,28732,753050,1192915
2020-07-23,29861,782607,1238635
2020-07-24,30601,817209,1287945
2020-07-25,31358,849432,1336861
2020-07-26,32063,885577,1385522
2020-07-27,32771,917568,1435453
2020-07-28,33425,952743,1483156
2020-07-29,34193,988029,1531669
